ID;Pred;details
ID-49;negative;{'neg': 0.255, 'neu': 0.745, 'pos': 0.0, 'compound': -0.34}
ID-50;neutral;{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
ID-51;neutral;{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
ID-52;positive;{'neg': 0.0, 'neu': 0.645, 'pos': 0.355, 'compound': 0.5106}
ID-53;neutral;{'neg': 0.0, 'neu': 0.769, 'pos': 0.231, 'compound': 0.2732}
ID-54;negative;{'neg': 0.193, 'neu': 0.807, 'pos': 0.0, 'compound': -0.3382}
ID-55;negative;{'neg': 0.137, 'neu': 0.863, 'pos': 0.0, 'compound': -0.2263}
ID-56;neutral;{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
ID-57;negative;{'neg': 0.448, 'neu': 0.552, 'pos': 0.0, 'compound': -0.8074}
ID-58;neutral;{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
ID-59;negative;{'neg': 0.369, 'neu': 0.631, 'pos': 0.0, 'compound': -0.6249}
ID-60;negative;{'neg': 0.337, 'neu': 0.663, 'pos': 0.0, 'compound': -0.6808}
ID-61;negative;{'neg': 0.205, 'neu': 0.795, 'pos': 0.0, 'compound': -0.4767}
ID-62;neutral;{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
ID-63;neutral;{'neg': 0.07, 'neu': 0.837, 'pos': 0.093, 'compound': 0.128}
ID-64;positive;{'neg': 0.0, 'neu': 0.791, 'pos': 0.209, 'compound': 0.4404}
ID-65;neutral;{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
ID-66;negative;{'neg': 0.336, 'neu': 0.559, 'pos': 0.105, 'compound': -0.5106}
ID-67;negative;{'neg': 0.404, 'neu': 0.596, 'pos': 0.0, 'compound': -0.8591}
ID-68;positive;{'neg': 0.0, 'neu': 0.551, 'pos': 0.449, 'compound': 0.6908}
ID-69;negative;{'neg': 0.244, 'neu': 0.756, 'pos': 0.0, 'compound': -0.6369}
ID-70;negative;{'neg': 0.381, 'neu': 0.619, 'pos': 0.0, 'compound': -0.7906}
ID-71;neutral;{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
ID-72;neutral;{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
ID-73;negative;{'neg': 0.291, 'neu': 0.503, 'pos': 0.206, 'compound': -0.1779}
ID-74;negative;{'neg': 0.255, 'neu': 0.745, 'pos': 0.0, 'compound': -0.34}
ID-75;neutral;{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
ID-76;negative;{'neg': 0.169, 'neu': 0.704, 'pos': 0.127, 'compound': -0.1531}
ID-77;positive;{'neg': 0.0, 'neu': 0.672, 'pos': 0.328, 'compound': 0.5994}
ID-78;positive;{'neg': 0.0, 'neu': 0.728, 'pos': 0.272, 'compound': 0.6249}
ID-79;neutral;{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
ID-80;negative;{'neg': 0.266, 'neu': 0.734, 'pos': 0.0, 'compound': -0.4404}
ID-81;negative;{'neg': 0.459, 'neu': 0.541, 'pos': 0.0, 'compound': -0.6249}
ID-82;positive;{'neg': 0.0, 'neu': 0.421, 'pos': 0.579, 'compound': 0.6705}
ID-83;negative;{'neg': 0.247, 'neu': 0.753, 'pos': 0.0, 'compound': -0.5574}
ID-84;negative;{'neg': 0.211, 'neu': 0.789, 'pos': 0.0, 'compound': -0.34}
ID-85;negative;{'neg': 0.388, 'neu': 0.612, 'pos': 0.0, 'compound': -0.6908}
ID-86;negative;{'neg': 0.463, 'neu': 0.537, 'pos': 0.0, 'compound': -0.7845}
ID-87;negative;{'neg': 0.271, 'neu': 0.642, 'pos': 0.087, 'compound': -0.6124}
ID-88;neutral;{'neg': 0.228, 'neu': 0.594, 'pos': 0.178, 'compound': -0.128}
ID-89;negative;{'neg': 0.348, 'neu': 0.449, 'pos': 0.202, 'compound': -0.3182}
ID-90;neutral;{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
ID-91;negative;{'neg': 0.37, 'neu': 0.63, 'pos': 0.0, 'compound': -0.6908}
ID-92;negative;{'neg': 0.504, 'neu': 0.496, 'pos': 0.0, 'compound': -0.7964}
ID-93;neutral;{'neg': 0.205, 'neu': 0.622, 'pos': 0.173, 'compound': -0.1341}
ID-94;positive;{'neg': 0.0, 'neu': 0.667, 'pos': 0.333, 'compound': 0.5423}
ID-95;negative;{'neg': 0.278, 'neu': 0.722, 'pos': 0.0, 'compound': -0.4019}
ID-96;neutral;{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
ID-97;neutral;{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
ID-98;neutral;{'neg': 0.185, 'neu': 0.652, 'pos': 0.163, 'compound': -0.0516}
ID-99;negative;{'neg': 0.485, 'neu': 0.515, 'pos': 0.0, 'compound': -0.6908}
ID-100;positive;{'neg': 0.0, 'neu': 0.663, 'pos': 0.337, 'compound': 0.6808}
ID-101;positive;{'neg': 0.0, 'neu': 0.648, 'pos': 0.352, 'compound': 0.5859}
ID-102;neutral;{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
ID-103;negative;{'neg': 0.519, 'neu': 0.481, 'pos': 0.0, 'compound': -0.6597}
ID-104;positive;{'neg': 0.0, 'neu': 0.867, 'pos': 0.133, 'compound': 0.3818}
ID-105;neutral;{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
ID-106;negative;{'neg': 0.279, 'neu': 0.721, 'pos': 0.0, 'compound': -0.4767}
ID-107;negative;{'neg': 0.263, 'neu': 0.602, 'pos': 0.135, 'compound': -0.4019}
ID-108;negative;{'neg': 0.263, 'neu': 0.577, 'pos': 0.16, 'compound': -0.3818}
ID-109;negative;{'neg': 0.387, 'neu': 0.613, 'pos': 0.0, 'compound': -0.743}
ID-110;neutral;{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
ID-111;negative;{'neg': 0.174, 'neu': 0.826, 'pos': 0.0, 'compound': -0.2755}
ID-112;neutral;{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
ID-113;negative;{'neg': 0.348, 'neu': 0.652, 'pos': 0.0, 'compound': -0.4939}
ID-114;negative;{'neg': 0.361, 'neu': 0.34, 'pos': 0.299, 'compound': -0.2263}
ID-115;positive;{'neg': 0.0, 'neu': 0.616, 'pos': 0.384, 'compound': 0.6808}
ID-116;negative;{'neg': 0.14, 'neu': 0.86, 'pos': 0.0, 'compound': -0.3818}
ID-117;negative;{'neg': 0.279, 'neu': 0.721, 'pos': 0.0, 'compound': -0.4767}
ID-118;negative;{'neg': 0.469, 'neu': 0.531, 'pos': 0.0, 'compound': -0.6486}
ID-119;neutral;{'neg': 0.0, 'neu': 0.805, 'pos': 0.195, 'compound': 0.1779}
ID-120;neutral;{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
ID-121;neutral;{'neg': 0.082, 'neu': 0.765, 'pos': 0.153, 'compound': 0.296}
ID-122;positive;{'neg': 0.159, 'neu': 0.435, 'pos': 0.406, 'compound': 0.5267}
ID-123;neutral;{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
ID-124;neutral;{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
ID-125;negative;{'neg': 0.236, 'neu': 0.764, 'pos': 0.0, 'compound': -0.5267}
ID-126;neutral;{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
ID-127;neutral;{'neg': 0.149, 'neu': 0.649, 'pos': 0.201, 'compound': -0.0516}
ID-128;negative;{'neg': 0.513, 'neu': 0.487, 'pos': 0.0, 'compound': -0.9501}
ID-129;positive;{'neg': 0.0, 'neu': 0.547, 'pos': 0.453, 'compound': 0.7003}
ID-130;neutral;{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
ID-131;positive;{'neg': 0.0, 'neu': 0.552, 'pos': 0.448, 'compound': 0.7579}
ID-132;positive;{'neg': 0.191, 'neu': 0.492, 'pos': 0.317, 'compound': 0.3164}
ID-133;negative;{'neg': 0.231, 'neu': 0.769, 'pos': 0.0, 'compound': -0.5994}
ID-134;negative;{'neg': 0.61, 'neu': 0.39, 'pos': 0.0, 'compound': -0.926}
ID-135;neutral;{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
ID-136;neutral;{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
ID-137;neutral;{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
ID-138;neutral;{'neg': 0.0, 'neu': 0.894, 'pos': 0.106, 'compound': 0.0772}
ID-139;negative;{'neg': 0.248, 'neu': 0.752, 'pos': 0.0, 'compound': -0.6808}
ID-140;positive;{'neg': 0.0, 'neu': 0.78, 'pos': 0.22, 'compound': 0.4767}
ID-141;neutral;{'neg': 0.248, 'neu': 0.513, 'pos': 0.239, 'compound': -0.0258}
ID-142;negative;{'neg': 0.274, 'neu': 0.726, 'pos': 0.0, 'compound': -0.5267}
ID-143;neutral;{'neg': 0.0, 'neu': 0.833, 'pos': 0.167, 'compound': 0.2023}
ID-144;neutral;{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
ID-145;negative;{'neg': 0.231, 'neu': 0.769, 'pos': 0.0, 'compound': -0.5574}
ID-146;negative;{'neg': 0.328, 'neu': 0.672, 'pos': 0.0, 'compound': -0.5267}
ID-147;positive;{'neg': 0.0, 'neu': 0.798, 'pos': 0.202, 'compound': 0.5859}
ID-148;negative;{'neg': 0.342, 'neu': 0.579, 'pos': 0.079, 'compound': -0.7184}
ID-149;neutral;{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
ID-150;negative;{'neg': 0.314, 'neu': 0.686, 'pos': 0.0, 'compound': -0.4939}
ID-151;neutral;{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
ID-152;neutral;{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
ID-153;negative;{'neg': 0.179, 'neu': 0.821, 'pos': 0.0, 'compound': -0.34}
ID-154;negative;{'neg': 0.167, 'neu': 0.833, 'pos': 0.0, 'compound': -0.1531}
ID-155;positive;{'neg': 0.0, 'neu': 0.645, 'pos': 0.355, 'compound': 0.5106}
ID-156;negative;{'neg': 0.444, 'neu': 0.556, 'pos': 0.0, 'compound': -0.7506}
ID-157;negative;{'neg': 0.213, 'neu': 0.787, 'pos': 0.0, 'compound': -0.2263}
ID-158;negative;{'neg': 0.478, 'neu': 0.522, 'pos': 0.0, 'compound': -0.7506}
ID-159;negative;{'neg': 0.624, 'neu': 0.376, 'pos': 0.0, 'compound': -0.9118}
ID-160;neutral;{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
ID-161;positive;{'neg': 0.114, 'neu': 0.705, 'pos': 0.181, 'compound': 0.3274}
ID-162;negative;{'neg': 0.211, 'neu': 0.789, 'pos': 0.0, 'compound': -0.34}
ID-163;negative;{'neg': 0.677, 'neu': 0.323, 'pos': 0.0, 'compound': -0.8885}
ID-164;neutral;{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
ID-165;negative;{'neg': 0.268, 'neu': 0.732, 'pos': 0.0, 'compound': -0.296}
ID-166;negative;{'neg': 0.318, 'neu': 0.462, 'pos': 0.22, 'compound': -0.1779}
ID-167;negative;{'neg': 0.242, 'neu': 0.758, 'pos': 0.0, 'compound': -0.4939}
ID-168;negative;{'neg': 0.583, 'neu': 0.417, 'pos': 0.0, 'compound': -0.7906}
ID-169;negative;{'neg': 0.408, 'neu': 0.592, 'pos': 0.0, 'compound': -0.7096}
ID-170;positive;{'neg': 0.0, 'neu': 0.541, 'pos': 0.459, 'compound': 0.8807}
ID-171;neutral;{'neg': 0.0, 'neu': 0.885, 'pos': 0.115, 'compound': 0.0772}
ID-172;neutral;{'neg': 0.0, 'neu': 0.925, 'pos': 0.075, 'compound': 0.0772}
ID-173;negative;{'neg': 0.213, 'neu': 0.787, 'pos': 0.0, 'compound': -0.4019}
ID-174;negative;{'neg': 0.558, 'neu': 0.442, 'pos': 0.0, 'compound': -0.743}
ID-175;neutral;{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
ID-176;neutral;{'neg': 0.0, 'neu': 0.914, 'pos': 0.086, 'compound': 0.128}
ID-177;negative;{'neg': 0.358, 'neu': 0.642, 'pos': 0.0, 'compound': -0.5994}
ID-178;negative;{'neg': 0.402, 'neu': 0.598, 'pos': 0.0, 'compound': -0.6908}
ID-179;negative;{'neg': 0.196, 'neu': 0.718, 'pos': 0.086, 'compound': -0.5106}
ID-180;negative;{'neg': 0.683, 'neu': 0.317, 'pos': 0.0, 'compound': -0.9169}
ID-181;neutral;{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
ID-182;neutral;{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
ID-183;negative;{'neg': 0.153, 'neu': 0.847, 'pos': 0.0, 'compound': -0.3291}
ID-184;negative;{'neg': 0.535, 'neu': 0.465, 'pos': 0.0, 'compound': -0.5574}
ID-185;negative;{'neg': 0.554, 'neu': 0.446, 'pos': 0.0, 'compound': -0.9042}
ID-186;negative;{'neg': 0.497, 'neu': 0.503, 'pos': 0.0, 'compound': -0.7845}
ID-187;negative;{'neg': 0.467, 'neu': 0.533, 'pos': 0.0, 'compound': -0.7906}
ID-188;negative;{'neg': 0.37, 'neu': 0.63, 'pos': 0.0, 'compound': -0.6908}
ID-189;neutral;{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
ID-190;negative;{'neg': 0.468, 'neu': 0.532, 'pos': 0.0, 'compound': -0.6597}
ID-191;neutral;{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
ID-192;negative;{'neg': 0.436, 'neu': 0.426, 'pos': 0.138, 'compound': -0.6808}
ID-193;neutral;{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
ID-194;neutral;{'neg': 0.0, 'neu': 0.88, 'pos': 0.12, 'compound': 0.128}
ID-195;neutral;{'neg': 0.144, 'neu': 0.663, 'pos': 0.193, 'compound': 0.2263}
ID-196;neutral;{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
ID-197;neutral;{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
ID-198;negative;{'neg': 0.302, 'neu': 0.57, 'pos': 0.127, 'compound': -0.6114}
ID-199;neutral;{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
ID-200;negative;{'neg': 0.347, 'neu': 0.415, 'pos': 0.238, 'compound': -0.4767}
ID-201;negative;{'neg': 0.37, 'neu': 0.63, 'pos': 0.0, 'compound': -0.6908}
ID-202;positive;{'neg': 0.0, 'neu': 0.777, 'pos': 0.223, 'compound': 0.3182}
ID-203;neutral;{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
ID-204;negative;{'neg': 0.302, 'neu': 0.698, 'pos': 0.0, 'compound': -0.5994}
ID-205;neutral;{'neg': 0.185, 'neu': 0.674, 'pos': 0.14, 'compound': 0.0516}
ID-206;negative;{'neg': 0.341, 'neu': 0.659, 'pos': 0.0, 'compound': -0.6908}
ID-207;negative;{'neg': 0.368, 'neu': 0.632, 'pos': 0.0, 'compound': -0.7506}
ID-208;negative;{'neg': 0.167, 'neu': 0.833, 'pos': 0.0, 'compound': -0.296}
ID-209;neutral;{'neg': 0.216, 'neu': 0.541, 'pos': 0.243, 'compound': 0.0772}
ID-210;negative;{'neg': 0.583, 'neu': 0.417, 'pos': 0.0, 'compound': -0.6808}
ID-211;positive;{'neg': 0.0, 'neu': 0.721, 'pos': 0.279, 'compound': 0.4754}
ID-212;negative;{'neg': 0.149, 'neu': 0.851, 'pos': 0.0, 'compound': -0.4215}
ID-213;neutral;{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
ID-214;negative;{'neg': 0.145, 'neu': 0.855, 'pos': 0.0, 'compound': -0.296}
ID-215;negative;{'neg': 0.511, 'neu': 0.489, 'pos': 0.0, 'compound': -0.8555}
ID-216;negative;{'neg': 0.303, 'neu': 0.588, 'pos': 0.109, 'compound': -0.5106}
ID-217;neutral;{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
ID-218;negative;{'neg': 0.231, 'neu': 0.769, 'pos': 0.0, 'compound': -0.34}
ID-219;negative;{'neg': 0.383, 'neu': 0.426, 'pos': 0.191, 'compound': -0.4215}
ID-220;neutral;{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
ID-221;neutral;{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
ID-222;negative;{'neg': 0.242, 'neu': 0.758, 'pos': 0.0, 'compound': -0.4939}
ID-223;negative;{'neg': 0.247, 'neu': 0.753, 'pos': 0.0, 'compound': -0.3182}
ID-224;negative;{'neg': 0.392, 'neu': 0.5, 'pos': 0.108, 'compound': -0.6597}
ID-225;negative;{'neg': 0.435, 'neu': 0.565, 'pos': 0.0, 'compound': -0.6597}
ID-226;positive;{'neg': 0.0, 'neu': 0.696, 'pos': 0.304, 'compound': 0.5859}
ID-227;neutral;{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
ID-228;negative;{'neg': 0.485, 'neu': 0.515, 'pos': 0.0, 'compound': -0.6908}
ID-229;neutral;{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
ID-230;neutral;{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
ID-231;neutral;{'neg': 0.233, 'neu': 0.526, 'pos': 0.241, 'compound': 0.0258}
ID-232;neutral;{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
ID-233;negative;{'neg': 0.189, 'neu': 0.811, 'pos': 0.0, 'compound': -0.4215}
ID-234;negative;{'neg': 0.58, 'neu': 0.42, 'pos': 0.0, 'compound': -0.8519}
ID-235;neutral;{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
ID-236;negative;{'neg': 0.435, 'neu': 0.565, 'pos': 0.0, 'compound': -0.8271}
ID-237;positive;{'neg': 0.0, 'neu': 0.815, 'pos': 0.185, 'compound': 0.3612}
ID-238;neutral;{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
ID-239;neutral;{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
ID-240;negative;{'neg': 0.392, 'neu': 0.608, 'pos': 0.0, 'compound': -0.7003}
ID-241;positive;{'neg': 0.0, 'neu': 0.726, 'pos': 0.274, 'compound': 0.5256}
ID-242;neutral;{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
ID-243;negative;{'neg': 0.49, 'neu': 0.51, 'pos': 0.0, 'compound': -0.8271}
ID-244;positive;{'neg': 0.0, 'neu': 0.855, 'pos': 0.145, 'compound': 0.5267}
ID-245;negative;{'neg': 0.411, 'neu': 0.357, 'pos': 0.232, 'compound': -0.25}
ID-246;positive;{'neg': 0.0, 'neu': 0.775, 'pos': 0.225, 'compound': 0.4404}
ID-247;negative;{'neg': 0.18, 'neu': 0.82, 'pos': 0.0, 'compound': -0.5106}
ID-248;negative;{'neg': 0.281, 'neu': 0.719, 'pos': 0.0, 'compound': -0.5994}
ID-249;neutral;{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
ID-250;negative;{'neg': 0.221, 'neu': 0.779, 'pos': 0.0, 'compound': -0.5267}
ID-251;neutral;{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
ID-252;negative;{'neg': 0.315, 'neu': 0.685, 'pos': 0.0, 'compound': -0.4976}
ID-253;neutral;{'neg': 0.0, 'neu': 0.87, 'pos': 0.13, 'compound': 0.0516}
ID-254;neutral;{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
ID-255;neutral;{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
ID-256;neutral;{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
ID-257;neutral;{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
ID-258;neutral;{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
ID-259;negative;{'neg': 0.619, 'neu': 0.381, 'pos': 0.0, 'compound': -0.7579}
ID-260;negative;{'neg': 0.441, 'neu': 0.559, 'pos': 0.0, 'compound': -0.743}
ID-261;neutral;{'neg': 0.292, 'neu': 0.385, 'pos': 0.323, 'compound': 0.1027}
ID-262;neutral;{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
ID-263;positive;{'neg': 0.143, 'neu': 0.504, 'pos': 0.353, 'compound': 0.3612}
ID-264;negative;{'neg': 0.31, 'neu': 0.476, 'pos': 0.214, 'compound': -0.296}
ID-265;neutral;{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
ID-266;negative;{'neg': 0.3, 'neu': 0.7, 'pos': 0.0, 'compound': -0.7717}
ID-267;negative;{'neg': 0.31, 'neu': 0.69, 'pos': 0.0, 'compound': -0.4019}
ID-268;neutral;{'neg': 0.198, 'neu': 0.617, 'pos': 0.185, 'compound': -0.0258}
ID-269;negative;{'neg': 0.247, 'neu': 0.753, 'pos': 0.0, 'compound': -0.3182}
ID-270;negative;{'neg': 0.268, 'neu': 0.732, 'pos': 0.0, 'compound': -0.5106}
ID-271;neutral;{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
ID-272;neutral;{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
ID-273;negative;{'neg': 0.259, 'neu': 0.741, 'pos': 0.0, 'compound': -0.5423}
ID-274;negative;{'neg': 0.407, 'neu': 0.429, 'pos': 0.164, 'compound': -0.5267}
ID-275;negative;{'neg': 0.468, 'neu': 0.532, 'pos': 0.0, 'compound': -0.8316}
ID-276;neutral;{'neg': 0.0, 'neu': 0.761, 'pos': 0.239, 'compound': 0.296}
ID-277;negative;{'neg': 0.328, 'neu': 0.672, 'pos': 0.0, 'compound': -0.5994}
ID-278;neutral;{'neg': 0.0, 'neu': 0.86, 'pos': 0.14, 'compound': 0.0772}
ID-279;neutral;{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
