ID	Gold	Pred	Text
ID-49	RollCall	negative	House to probe rise in hate crimes since Trump was elected
ID-50	Vice	neutral	"""I Make $1"
ID-51	Vice	neutral	I Wore a Music-Activated Vibrator to the Club Instead of Doing Drugs
ID-52	Twitchy	negative	Ilhan Omar hopes her minions can help her punish ‘white nationalist’ Tucker Carlson for ‘hate speech’
ID-53	dailymail	negative	"""Illegal immigrant"
ID-54	Alternet	negative	"""Immigrant children sent to Chicago shelters are traumatized and sick"
ID-55	Alternet	negative	Immigrant soldiers are now being denied US citizenship at a higher rate than civilians
ID-56	dailysignal	neutral	"""In 1 Chart"
ID-57	Economist	neutral	"""In some countries"
ID-58	TheWeek	neutral	Indian election: Narendra Modi’s BJP tipped for victory
ID-59	TheGuardian	negative	Indian farmers shocked as suspected meteorite crashes into rice field
ID-60	Positivenews	positive	"""Indigenous Tribe Wins Legal Battle Against Oil Companies"
ID-61	Positivenews	neutral	Iowa Farmers Send Relief To Nebraska Flood Victims
ID-62	InfoWars	negative	"""Iran Says US Cyber Attacks Failed"
ID-63	TheWeek	negative	Iran fails in attempt to ‘impede’ British oil tanker
ID-64	dailywire	neutral	"""It Will Cost $600"
ID-65	MotherJones	neutral	It’s the End of the World as They Know It
ID-66	TheNewYorker	negative	Jacinda Ardern Has Rewritten the Script for How a Nation Grieves After a Terrorist Attack
ID-67	dailycaller	neutral	Japan Goes Back To Hunting Whales For First Time In 31 Years
ID-68	TheAtlantic	positive	Jeopardy Wasn’t Designed for a Contestant Like James Holzhauer
ID-69	FreeBacon	negative	Jimmy Carter: Trump ‘Didn’t Actually Win the Election’
ID-70	TNR	positive	Joe Biden Is the Democrats’ Safety School
ID-71	HuffPost	neutral	"""Journalist"
ID-72	TheGatewayPundit	negative	Judicial Watch Sues For Documents Potentially Showing FBI Ignored Evidence That Chinese Hacked Hillary Clinton’s Private Server
ID-73	TheBlaze	neutral	Justin Amash faces intense blowback after Trump impeachment claims — then Trump hits back
ID-74	FreeBacon	positive	Kamala Harris Campaign Insists ‘She’s Been Very Clear’ on Health Care
ID-75	TheGuardian	positive	Katarina Johnson-Thompson smashes her personal best to win heptathlon
ID-76	TheWeek	neutral	Labour on course to sweep European elections
ID-77	NBC	neutral	Latino votes could swing the Democratic primary. And the candidates know it.
ID-78	HotAir	neutral	Let’s look in on the democratic socialist convention and see how it’s going
ID-79	RealClearPolitics	neutral	Life Lessons From the 2019 National Teacher of the Year
ID-80	dailycaller	neutral	Lion Scalps 4-Year-Old Girl After She Gets Too Close To Fence On Big Cat Farm
ID-81	TheWeek	neutral	London to be ‘as hot as Barcelona’ by 2050
ID-82	TPM	negative	Looks Like RedState Quietly Removed Another Conspiracy-Flavored Mueller Post
ID-83	BBC	neutral	Lord mayor opens Joe Lycett's new kitchen extension
ID-84	BBC	negative	Malaysia orders tonnes of imported waste to be returned
ID-85	TheHill	positive	Manchin knocks Barr: He should be focused on protecting the Constitution
ID-86	Vice	positive	Mark Zuckerberg Says the Supreme Court of Facebook Is Coming Soon
ID-87	dailymail	neutral	Matt Hancock pledges to end scandal of pensioners being forced to sell their home to pay for care
ID-88	dailymail	negative	May warned indicative votes will leave UK with 'Auf Wiedersehen Pet' Brexit that 'no one wants'
ID-89	Breitbart	neutral	Mexican Border State Local Police Accused of Protecting Gulf Cartel
ID-90	Breitbart	negative	Mexican Cartels Fight for Control of Border State Prison
ID-91	NewsMax	negative	Mexican Official: No Plans to Stop Migrant Caravans
ID-92	MotherJones	negative	Michael Cohen Claims He Has Evidence of Possible Illegal GOP Contributions From China
ID-93	ForeignPolicy	neutral	Mohamed Morsi and the Passing of Egypt’s Democratic Moment
ID-94	NYP	negative	Mom arrested after son’s pal scalded in ‘Hot Water Challenge’ at sleepover
ID-95	NBC	negative	More than 30 feared dead in suspected arson at Kyoto animation studio
ID-96	NewsBusters	neutral	Muddying the Waters: ABC Reporter Misleads Viewers on AG Barr’s Testimony
ID-97	WP	negative	Mueller punted big questions to a Congress ill-equipped to deal with them
ID-98	NewsBusters	neutral	NBC Eagerly Hypes ‘Mounting Pressure’ on Dems to Impeach Trump
ID-99	RealClearPolitics	neutral	"""Nancy Pelosi"
ID-100	Truthout	negative	Nationwide Demonstrations Announced to Protest Immigrant Detention Centers
ID-101	Alternet	neutral	"""Nearly 500"
ID-102	MotherJones	negative	New Hampshire Lawmakers Just Overrode the Republican Governor’s Veto and Abolished the Death Penalty
ID-103	dailymail	neutral	"""New father"
ID-104	Marketwatch	neutral	"""New front-month contract September WTI oil adds 46 cents"
ID-105	NPR	negative	"""Nissan Is Cutting 12"
ID-106	TheFederalist	neutral	Nobody Was A More Complete Russian Collusion Stooge Than The U.S. Media
ID-107	Twitchy	negative	OH NOEZ! Alyssa Milano just totally doomed Amy McGrath’s entire campaign and all it took was ONE WORD
ID-108	Vice	negative	Party Organisers Describe the Weirdest Ways They've Seen People Smuggle in Drugs
ID-109	OAN	negative	Pelosi hits Trump over use of 9/11 images to criticize Muslim lawmaker
ID-110	TPM	negative	Pence Dodges Questions About Poor Conditions At Child Migrant Centers
ID-111	NYP	neutral	Peñafiel bottled water pulled from shelves over high levels of arsenic
ID-112	HuffPost	negative	Police Charge Suspected Christchurch Mosque Gunman With Engaging In Terrorism
ID-113	TheHill	negative	Police in Northern Ireland warn of 'new breed' of terrorists after journalist's killing
ID-114	WP	negative	Pompeo reaches the dead end of Trump’s Venezuela policy
ID-115	HotAir	negative	Pompeo warns Israel: Get too close to China and intel cooperation will suffer
ID-116	TheBlaze	neutral	"""President Donald Trump says Google and Facebook should be sued over allegations of their bias against conservatives"
ID-117	TheFederalist	positive	Rare-Earths Mining Shows Exactly How China Cheats The United States Through ‘Free Trade’
ID-118	Twitchy	negative	Ratio alert! KC paper’s spin for attack on Daily Wire’s Michael Knowles takes victim-blaming to the next level
ID-119	dailywire	neutral	Record Number Of AFRICAN Migrants Are Now Showing Up At The U.S.-Mexico Border
ID-120	democracynow	negative	Remember the South: Devastating Cyclone Idai Another Example of Global South Paying for Polluters
ID-121	RollCall	negative	Rep. Ilhan Omar condemns Trump for endangering the lives of Muslims
ID-122	RollCall	neutral	Republican rebellion over Mexico tariffs overshadows Trump’s European visit
ID-123	ThinkProgress	positive	Republican-led Maryland commits to sweeping clean energy standards
ID-124	Time	neutral	Rihanna Might Possibly Be Trolling Her Superfans and This Is Proof
ID-125	ThinkProgress	negative	Roy Moore says he can survive sex assault allegations since Kavanaugh did
ID-126	dailymail	neutral	Royal first as Queen appoints her first female as Dean of Chapels
ID-127	TheHill	negative	Rubio says progressive Democrats are 'fully' American but 'political bullies'
ID-128	NewsMax	positive	S&P 500 Hits Fresh Record High on Trade Optimism
ID-129	NewsBusters	negative	SAD TROMBONE: MSNBC Slams Dems for Not Bashing ‘Lord Voldemort’ Trump Enough
ID-130	TheGatewayPundit	negative	SICK. Nearly 50K People ‘Like’ Tweet About Running Over Seven-Year-Old Pro-Trump Child
ID-131	TheHill	positive	Sally Yates: Trump would be indicted on obstruction of justice if he were not president
ID-132	MotherJones	positive	Sarah Sanders Admitted to the Special Counsel That She Lied About Comey
ID-133	HotAir	neutral	"""Second Democratic debate live thread: Two socialists enter"
ID-134	dailysignal	neutral	"""Segregation Is Back"
ID-135	dailysignal	positive	Senate Democrats Show What Real Confirmation Obstruction Looks Like
ID-136	NYT	neutral	"""Sol Pais"
ID-137	Vice	positive	Some Easy Ways to Stamp Out Your Festival Carbon Footprint
ID-138	TheWeek	neutral	Sport shorts: Juventus sign Matthijs de Ligt and Lando Norris urges Lewis Hamilton to ‘stick around’ in F1
ID-139	TheNewYorker	positive	Subtle Hints That It May Be Time to Clean Your Car
ID-140	HuffPost	negative	Sudan Military Acknowledges Violations Against Protesters In Khartoum
ID-141	TheAmericanConservative	neutral	Sultan Erdogan’s Turkey Should Be Tossed From NATO
ID-142	HotAir	positive	Surprise! Dems still jumping into the 2020 sweepstakes despite Biden’s entry
ID-143	HotAir	negative	Swiss court orders IAAF to suspend intersex athlete testosterone rules
ID-144	BBC	neutral	"""Syrian woman's 2"
ID-145	TheAmericanConservative	neutral	TAC Bookshelf for the Week of July 22
ID-146	TheBlaze	negative	TV networks are refusing to sell ads for anti-abortion movie 'Unplanned'
ID-147	ThinkProgress	neutral	Texas law firm reveals it is working with Russia’s ally in the Balkans
ID-148	Vice	neutral	That Iconic Photo of Shrek's Head Carved Out of a Melon Needs Revisiting
ID-149	BussinesInsider	positive	The 30 most popular products from last year's Amazon Prime Day — including the ones that surprised us
ID-150	BussinesInsider	positive	The David & Sharon Johnston Centre for Corporate Governance Innovation Established at the University of Toronto's Rotman School of Management
ID-151	TheAtlantic	negative	The Death of America’s Frontier Vision
ID-152	TheWeek	neutral	The Decathlon: ten things from the world of sport on 23 April
ID-153	TheAmericanConservative	neutral	The Decline of Our Nation’s Generals
ID-154	TNR	negative	The Growing Obsession With Linking Iran to Terrorism
ID-155	TheFederalist	positive	The History Of Humankind Proves Masculinity Is A Powerful Positive Good
ID-156	ProPublica	negative	The IRS Tried to Take on the Ultrawealthy. It Didn’t Go Well.
ID-157	ABC	neutral	The Latest: Trump says threats led to carrier deployment
ID-158	ForeignPolicy	neutral	The Middle East Is Now Split Between Red States and Blue States
ID-159	HotAir	negative	The Navy is officially taking UFOs seriously
ID-160	TNR	neutral	The New Republic Continues Expansion with Editorial Hires
ID-161	TheNewYorker	neutral	The Right to a Stable Climate Is the Constitutional Question of the Twenty-first Century
ID-162	TheNewYorker	negative	The Scrambled Logic of Trump’s New Attempt to Kill Obamacare
ID-163	TNR	positive	The Tenants’ Rights Movement Is Expanding Beyond Big Cities
ID-164	TNR	neutral	The Trudeau Scandal Happens All the Time in America
ID-165	Vice	neutral	The U.S. Women's Soccer Team Is Literal Goals
ID-166	ThinkProgress	neutral	The architect of many of Trump’s pro-coal plans is leaving the EPA
ID-167	TheWeek	positive	The richest country in the world
ID-168	BBC	negative	The rumour that led to medical researchers in Ethiopia being killed by a mob
ID-169	Economist	negative	The use of banned drugs is rife in sport
ID-170	ForeignPolicy	neutral	There Is Still Time for Diplomacy With Iran
ID-171	ProPublica	neutral	These 4 Arguments Can’t Overcome the Facts About Carbon Offsets for Forest Preservation
ID-172	Vice	neutral	They Should've Used This Song Father John Misty Wrote for 'A Star Is Born'
ID-173	dailysignal	negative	This Gay Dad Lost Custody of His Own Kids. His Case Matters for All Children.
ID-174	Vice	neutral	This Medical School in Japan Uses Facial Recognition for Attendance
ID-175	dailymail	positive	"""Top law firm increases salary for junior solicitors to £100"
ID-176	BussinesInsider	neutral	TriciaBiz Launches Online Business School for Entrepreneurs in Africa
ID-177	TheNewYorker	positive	Trump Asks Wisconsin to Help Elect Him Again in 2020
ID-178	fiscaltimes	negative	Trump Cutting $700 Million in Aid to Central America
ID-179	RealClearPolitics	neutral	Trump Doesn't Know a Thing About Baltimore
ID-180	dailysignal	neutral	Trump Gets an ‘F’ for Libya
ID-181	MotherJones	negative	Trump Is Getting Dangerously Close to War With Iran
ID-182	NationalReview	neutral	Trump Labels Mueller Probe an ‘Attempted Coup’
ID-183	dailycaller	neutral	"""Trump Slams India’s Tariffs On American Products"
ID-184	democracynow	negative	Trump Steps up War on Whistleblowers: Air Force Vet Daniel Hale Arrested For Leaking Drone War Info
ID-185	TheAmericanConservative	neutral	Trump Trolls Washington Foreign Policy Establishment
ID-186	dailykos	negative	"""Trump admin stole at least 18 babies as young as 4 months from migrant families"
ID-187	ThinkProgress	neutral	Trump administration says it could take 2 years to reunite separated migrant families
ID-188	Truthout	positive	Trump and Barr Could Stretch Executive Privilege and Grand Jury Secrecy Claims
ID-189	TheHill	positive	Trump approval rating dips to 44 percent: poll
ID-190	PoliticoPulse	positive	Trump on border: ‘It’s like Disneyland now’
ID-191	TheGuardian	neutral	Trump says 'absolutely broken' Iran will face major new sanctions
ID-192	WT	negative	Tunisia's foreign minister: 'Democracy is the best tool to fight terrorism and extremism'
ID-193	dailycaller	neutral	US To Test New Missile After Termination Of Reagan-Era INF Treaty With Russia
ID-194	CNN	positive	US intel: Saudi's missile program got help from China
ID-195	NewsBusters	negative	USA Today Sports Attacks on 'Raging' Trump Appear To Be Coordinated Media Campaign
ID-196	InfoWars	neutral	Video of The Left Worshipping Abortion Shocks The World
ID-197	ThinkProgress	negative	Washington state takes aim at measles crisis by hitting vaccine exemptions
ID-198	TheFederalist	positive	Watch Blue Checkmarks Shower Twitter Love On Anti-Semite Louis Farrakhan
ID-199	fiscaltimes	positive	What Voters Really Want on Health Care
ID-200	Vice	negative	What Western Media Got Wrong About China’s Blockbuster ‘The Wandering Earth’
ID-201	ThinkProgress	negative	Wheeler pledges help for Miami’s water woes but ignores climate change
ID-202	Twitchy	negative	Whiplash warning! Ben Shapiro shows how stunningly fast Adam Schiff & Dems changed direction on what constitutes a ‘cover-up’
ID-203	dailykos	positive	White House orders former personnel security director to disobey congressional subpoena
ID-204	TheGuardian	negative	World leaders have 'a lot to answer for' over damning figures on education
ID-205	ProPublica	neutral	You Can Now See Who's Contributing to 2020 Presidential Campaigns by State
ID-206	Twitchy	positive	‘I can’t think of one thing’: Lindsey Graham gives four reasons why the idea that Trump obstructed justice is ‘absurd’
ID-207	Twitchy	neutral	"""‘Sit this one out"
ID-208	Twitchy	positive	‘This is rich’! Hillary Clinton’s lecture about who’s not ‘above the law’ sets a new facepalm record
ID-209	CNN	neutral	'Black Mirror' Season 5 first look has arrived
ID-210	Breitbart	neutral	900 Migrants Apprehended in 2 Days After Crossing Remote AZ Border Area
ID-211	Intercept	neutral	Amazon Offered Job to Pentagon Official Involved With $10 Billion Contract It Sought
ID-212	BuzzFeed	neutral	Beto O’Rourke Plans to Give Minority Americans More Loans
ID-213	TNR	neutral	Climate Change Is Finally Getting the Attention It Deserved 20 Years Ago
ID-214	TheGuardian	neutral	Colorado Rapids match to go ahead as scheduled despite plague
ID-215	Marketwatch	neutral	"""Dow rises nearly 200 points at 27"
ID-216	ABC	neutral	Egypt election commission says voters have approved amendments allowing President el-Sissi to stay in power until 2030
ID-217	dailybeast	positive	"""Far-Right Groups Embrace ‘Straight Pride Parades’ to Win Recruits"
ID-218	TheHill	negative	Feinstein to introduce bill raising age to purchase assault weapons after California shooting
ID-219	TheAmericanConservative	negative	Fighting for the Right to Repair Our Stuff
ID-220	dailywire	neutral	"""Jason Rantz Guest Hosting: Antifa Takes over Portland"
ID-221	TheBlaze	negative	Joe Biden brags about past 'civility' with racist former Dem senators—now his 2020 opponents are on the attack
ID-222	NPR	neutral	Lawmaker Aims To Curb Social Media Addiction With New Bill
ID-223	dailymail	positive	Local Elections 2019: Row as Scouts do their best to help Tories win
ID-224	Breitbart	neutral	Matt Gaetz: 'America First' Means Protecting U.S. Border Before Avenging Japanese Vessels
ID-225	FoxNews	neutral	"""Meghan Markle"
ID-226	Vice	positive	Method Man Gives Us Some Brilliant Work Advice
ID-227	TheAdvocate	neutral	"""Near the Comite"
ID-228	ThinkProgress	neutral	"""Nevada Democrats pass bill to restore voting rights of 77"
ID-229	BBC	negative	One restaurant's simple approach to fighting food waste
ID-230	TheWeek	neutral	"""Premier League transfer news: Coutinho"
ID-231	fiscaltimes	neutral	Senate Sends $2.7 Trillion Budget Deal to Trump
ID-232	WT	neutral	"""Sudanese activists"
ID-233	Quartz	positive	The “Sonic the Hedgehog” movie promises pure 1990s Jim Carrey nostalgia
ID-234	OAN	neutral	Trump says he will seek U.S. trade accord with Brazil
ID-235	NBC	neutral	Trump signs bill ensuring 9/11 victims fund will never run out of money
ID-236	WP	neutral	Trump’s sanctions on Iran are hitting Hezbollah hard
ID-237	TPM	neutral	"""US Economy Adds 164"
ID-238	ABC	positive	US tells Afghan president Qatar talks best chance for peace
ID-239	TheGuardian	negative	'Forgotten coast': a Florida town fights to rebuild after Hurricane Michael
ID-240	Breitbart	neutral	3500 Migrants Apprehended over 3 Days in One Texas Border Sector
ID-241	Positivenews	neutral	70% Of The Materials Used To Make IKEA Products In 2018 Were Either Renewable Or Recycled
ID-242	FoxNews	negative	8 grilling mistakes that will screw up your Memorial Day cookout
ID-243	Positivenews	neutral	8-Year-Old Boy Saves Sister From Kidnapping
ID-244	Positivenews	negative	A Circus In Germany Is Using Holograms Instead Of Animals To Stop Mistreatment
ID-245	MotherJones	neutral	A Dutch Doctor Has Been Mailing Abortion Pills to Women in the US. Now the FDA Is Going After Her.
ID-246	dailycaller	negative	A Man Told His Girlfriend To Run As He Was Murdered. It Lead To An International Manhunt That Put Her Behind Bars
ID-247	Positivenews	positive	A Parrot Named Freddy Krueger Is Alive And Well After A 4-Year Nightmare
ID-248	Jacobin	positive	Abortion Rights Are More Popular Than You Think
ID-249	Positivenews	neutral	Anonymous Donor Gives $25 Million To Childrenand#039;s Hospital Los Angeles
ID-250	HotAir	neutral	Another interview with a Biden advisor about his Hyde Amendment flip-flop doesn’t go so well
ID-251	LATimes	negative	"""As climate change threatens California"
ID-252	dailycaller	neutral	Athletes With High Testosterone Can Be Barred From Women’s Sports
ID-253	NationalReview	neutral	Bias Complaint Filed over Joke about Janet Jackson Nipple Incident
ID-254	Positivenews	neutral	"""Businessman Is Donating 10"
ID-255	NewsBusters	neutral	"""CBS Highlights Mysterious"
ID-256	TheAdvocate	neutral	"""Carnival cruise ship"
ID-257	TheGuardian	positive	Cheese rolling and racing corgis: Monday's best
ID-258	TheGatewayPundit	neutral	Cher Experiences Brief Moment of Lucidity – Questions Democrats’ Open Border Policy
ID-259	Economist	positive	"""Children make parents happy"
ID-260	BBC	neutral	Clashes break out at Jerusalem holy site
ID-261	TNR	negative	Climate Change Is This Generation’s Vietnam War
ID-262	Positivenews	negative	Commencement Speaker Announces He Will Pay Off Class Of 2019and#039;s Student Debt
ID-263	Positivenews	neutral	Community Raises Money To Pay For Elementary School Janitorand#039;s Medical Bills
ID-264	BussinesInsider	positive	Consumers benefit from Demotech Support of Private Flood Insurance Carriers
ID-265	Economist	positive	Countries team up to save the liberal order from Donald Trump
ID-266	OAN	neutral	Del Potro beats Shapovalov on another rain-hit day at Queen’s Club
ID-267	TNR	negative	Democrats Are Losing This Made-for-TV Moment
ID-268	Positivenews	negative	Deputy Surprises Kid With New Toys After His Were Stolen
ID-269	ThinkProgress	positive	"""Despite Trump’s $4 trillion promise"
ID-270	TNR	neutral	Devin Nunes’s Ridiculous Lawsuit Is a Masterpiece of Republican Grievance
ID-271	NewsMax	neutral	Doctors Use Medical Records to Track Down Unvaccinated
ID-272	Positivenews	neutral	"""Dolly Parton Donates $200"
ID-273	fiscaltimes	neutral	Drugmakers Master Rolling Out Their Own Generics to Stifle Competition
ID-274	WP	positive	Facebook raising pay and support services for thousands of contractors and content moderators
ID-275	TheWeek	neutral	Fed cuts interest rates for first time in a decade: why it matters
ID-276	LATimes	positive	Free tickets to see Rams and Chargers practice at SoCal training camps
ID-277	Positivenews	neutral	Gamer Raises Nearly $1 Million For St. Jude Childrenand#039;s Research Hospital In Just 4.5 Hours
ID-278	InfoWars	neutral	Gavin Newsom Opens $50 million Donor Network to Kamala Harris
ID-279	BBC	neutral	Ghanaian teacher: 'Dancing makes students relate to me'
ID-280	FreeBacon	positive	Hawley Plan to Regulate Tech’s Political Bias Tops Policy Ideas Poll
ID-281	Time	neutral	Here’s What’s New on (and Leaving) Netflix in May 2019
ID-282	MotherJones	neutral	Hillary Clinton Wins Fight for $12 Minimum Wage
ID-283	TheGuardian	neutral	Holiday review – an unlovely sojourn around the twisted male psyche
ID-284	dailymail	negative	Horror as climber in his 50s plunges to his death while scaling the highest mountain in Ireland
ID-285	Truthout	positive	House Approves “Sweeping” Provisions That Target Toxic “Forever Chemicals”
ID-286	fiscaltimes	negative	House Democrats Unveil $4.5 Billion Emergency Border Funding Bill
ID-287	TheHill	neutral	House bill would make World Cup funds contingent on equal pay
ID-288	democracynow	positive	Ilhan Omar in Her Own Words: I Know What Hate Feels Like
ID-289	FoxNews	neutral	India launches historic mission to the Moon
ID-290	Positivenews	positive	Iowa High School Gives Students PE Credits For Helping The Elderly With Yard Work
ID-291	dailywire	neutral	Iran Seizes Multiple Oil Tankers Near Persian Gulf
ID-292	FoxNews	negative	Israel strikes Gaza targets in response to Palestinian heavy rocket fire
ID-293	MotherJones	neutral	I’ve Spent Decades Talking to Parents About Vaccines. It’s Time for a Change.
ID-294	TheWeek	neutral	"""Jeweller sells £4"
ID-295	FT	neutral	Johnson heads Tory leadership contest after first round
ID-296	ThinkProgress	neutral	"""Julian Castro spotlights housing"
ID-297	Marketwatch	neutral	"""June gold tacks on 30 cents to settle at $1"
ID-298	Positivenews	positive	Kenyan Teacher Who Gives Away 80% Of His Salary To Help His Students Wins $1 Million Prize
ID-299	NYT	positive	Let Trump Have His Birthday Party for America
ID-300	Time	negative	Let’s All Witness Maisie Williams Silencing a Troll Who Doubts the Power of Arya Stark
ID-301	FreeBacon	neutral	Liberal Filmmaker Explodes at Van Drew (D)
ID-302	CNN	negative	London bus attack victim urges fight against all LGBT hate crimes
ID-303	TheGatewayPundit	positive	"""MORE WINNING: GM Announces $700 Million Investment In Ohio"
ID-304	FreeBacon	neutral	"""Maher: Casual Debate Viewer Would Think Democrats ‘Really"
ID-305	NationalReview	neutral	Maine Gov. Signs Bill Allowing Non-Doctors to Perform Abortions
ID-306	BBC	negative	Malawi's antibiotics crisis: Why the drugs don't work for some
ID-307	Positivenews	negative	"""Men Notice Elderly Woman Eating Alone"
ID-308	Marketwatch	neutral	Micron stock price target raised to $36 from $32 at CFRA
ID-309	dailykos	neutral	"""Midday open thread: Measles"
ID-310	dailykos	negative	Mueller: Report did not exonerate Trump
ID-311	Vice	neutral	"""NASA Is Offering $18"
ID-312	Positivenews	neutral	"""Nearly 5"
ID-313	MotherJones	negative	"""No"
ID-314	OAN	negative	No-deal Brexit under fire: Parliament grabs brakes against Boris Johnson
ID-315	Breitbart	negative	Nolte: Massive Viewership Collapse Drops CNN Prime Time to 15th Place
ID-316	NPR	negative	Officials Say Gang Violence Suspected In Mass Shooting Outside Pa. Nightclub
ID-317	WP	negative	"""One year after car crash at the Memorial"
ID-318	ForeignPolicy	neutral	Pablo Casado Was Meant to Save Spain’s Center-Right. He Destroyed It.
ID-319	LATimes	negative	"""Parents of 16-year-old who was fatally shot by L.A. police reach $200"
ID-320	dailymail	neutral	RAAF pilots are taught to think of women during bombing operations
ID-321	FreeBacon	positive	Review: ‘For the Good of the Game’
ID-322	MotherJones	neutral	Robert Mueller Has Completed His Investigation Into Donald Trump and Russia
ID-323	dailycaller	neutral	Saudi Arabia Plans To Let Women Leave The Country Without The Permission Of A Man
ID-324	dailykos	neutral	Scientists discover remains of another unknown species of small human in the Philippines
ID-325	dailymail	positive	Scientists in bid to set up a ‘poo bank’ as stool transplants prove to be effective
ID-326	dailykos	neutral	"""Scientists turn wood into a material that reflects heat"
ID-327	NPR	neutral	"""Setting Precedent"
ID-328	WP	neutral	"""Smithsonian names Lonnie Bunch III as new secretary"
ID-329	Reason	negative	Sri Lankan Government Blocks Social Media Access Over Alleged Fake News
ID-330	Vox	positive	Stranger Things season 3 is charming but frustrating. Here’s a spoiler-free review.
ID-331	HuffPost	neutral	"""Sudan Military"
ID-332	RollCall	positive	Supreme Court allows states to draw partisan political maps
ID-333	Marketwatch	neutral	Target upgraded to equal weight at Morgan Stanley
ID-334	NYP	neutral	Texas church targeted in mass shooting opens new sanctuary
ID-335	Economist	positive	"""Thanks to education"
ID-336	Jacobin	negative	The Corporate Campaign to Kill Bernie’s Medicare for All Bill Is Here
ID-337	MotherJones	neutral	The Images Coming out of Hong Kong Are Simply Jawdropping
ID-338	TPM	neutral	The Perfect Candidate Who's Totally Ill-Suited to the Times
ID-339	NYT	neutral	The Rise and Rise of the Turkish Right
ID-340	Vox	neutral	The Senate just extended the September 11th Victim Compensation Fund through 2090
ID-341	WP	neutral	The U.S. soccer team is just one part of a larger wave of female activism
