,ID,Source,Pred,Monthly Visitors November 2020,Text
,ID-766,Alternet,negative,4820000,Kellyanne Conway rips Nikki Haley for Trump criticism just as husband George urges the former UN ambassador to join ‘the right side of history’
,ID-793,Alternet,negative,4820000,New polling of 2020 Democrats head-to-head with Trump in a key swing state reveals his electoral weakness
,ID-849,Alternet,negative,4820000,The disturbing reason Republicans deny science and embrace measles epidemic
,ID-853,Alternet,negative,4820000,This Republican lawmaker actually just called out Trump’s racism
,ID-1486,Alternet,negative,4820000,Netflix vows to work with ACLU in fight against draconian Georgia anti-abortion law
,ID-1612,Alternet,negative,4820000,Alan Dershowitz pens panicky op-ed in anticipation of a New Yorker ‘hit piece’ about him and underage girls
,ID-1650,Alternet,negative,4820000,Disturbing report reveals Trump is allowing U.S. bomb parts to be built in Saudi Arabia — despite objections from Congress
,ID-1699,Alternet,negative,4820000,Lawyer for ‘MAGA bomber’ says Trump’s rhetoric ‘contributed’ to attacks on the president’s critics
,ID-1778,Alternet,negative,4820000,This one simple trick can make primaries a lot less annoying
,ID-2005,Alternet,negative,4820000,Advocacy groups warn against ‘normalized hate speech’ after Trump continues to ridicule Rep. Omar — despite death threats
,ID-2052,Alternet,negative,4820000,The GOP’s anti-choice zealots are threatening to lurch America into a cold civil war
,ID-2098,Alternet,negative,4820000,New research finds the HPV vaccine is exceeding expectations and drastically cutting rates of cervical pre-cancer
,ID-2217,Alternet,negative,4820000,‘A new level of dysfunction’: The Trump administration suffers ‘rampant confusion’ as US foreign policy goes of the rails
,ID-2282,Alternet,negative,4820000,Former Acting Attorney General Sally Yates on Trump: ‘I have personally prosecuted obstruction cases on far less evidence than this’
,ID-2357,Alternet,negative,4820000,Trump praises the crowd that started racist ‘Send her back!’ chant — says they’re ‘incredible patriots’
,ID-2367,Alternet,negative,4820000,US Navy SEAL acquitted of war crimes despite eyewitness testimony and photographic evidence
,ID-2439,Alternet,negative,4820000,Trump advisor leaves high-powered consulting firm after calling House Judiciary Chairman Jerry Nadler ‘a f*cking scumbag’
,ID-2602,Alternet,negative,4820000,‘Unprecedented’ decline of plants and animals as global ‘red list’ reveals nearly one-third of assessed species are under threat
,ID-2606,Alternet,negative,4820000,Alexandria Ocasio-Cortez rips Steve King: ‘You were too racist even for’ Republicans
,ID-2894,Alternet,negative,4820000,Veteran journalist writes horrifying account of Donald Trump raping her 23 years ago
,ID-3129,Alternet,negative,4820000,Conservative writer reveals how Trump just signed the Tea Party’s death certificate
,ID-3324,Alternet,negative,4820000,Federal judge slaps Roger Stone with a social media ban for violating a court order
,ID-3347,Alternet,negative,4820000,Key swing district voters want candidates willing to take on Big Pharma: Americans are ‘tired of getting ripped off’
,ID-3414,Alternet,negative,4820000,Trump inching toward an intel apparatus that believes his false ‘wire tapping’ claim after DNI pick accuses Obama administration of committing crimes
,ID-3416,Alternet,negative,4820000,Trump sues to block New York from releasing his tax returns
,ID-3454,Alternet,negative,4820000,Alexandria Ocasio-Cortez was horrified after visiting Trump’s migrant camps — here’s why
,ID-3499,Alternet,negative,4820000,Trump’s disturbing answer about how he could ‘unite’ the country echoes his maniacal demand for loyalty
,ID-3543,Alternet,negative,4820000,Former US attorney Preet Bharara slams Rudy Giuliani for downplaying impact of campaign taking info from Russia
,ID-3817,Alternet,negative,4820000,‘The facts we know about already are damning’: Conservative writer says the GOP would impeach Trump if it weren’t run by ‘know-nothing cultists’
,ID-3820,Alternet,negative,4820000,‘You lied to Congress’: Democratic Sen. Hirono unleashes on Bill Barr — and infuriates Lindsey Graham
,ID-4054,Alternet,negative,4820000,Ethics expert details the scandals in the White House’s new list of staff salaries
,ID-4292,Alternet,negative,4820000,Trump facing ‘psychic collapse’ after Mueller’s report puts more pressure on his unstable mind: Psychoanalyst
,ID-4391,Alternet,negative,4820000,A key Mueller probe witness was just indicted with new felony sex trafficking charges
,ID-4533,Alternet,negative,4820000,Bill Maher and filmmaker John Waters brutally troll Trump with epic smack-down on HBO’s ‘Real Time’
,ID-4916,Alternet,negative,4820000,‘They’re doing it as we sit here’: Mueller sends a dire warning about Russian interference in U.S. elections
,ID-4960,Alternet,negative,4820000,Donald Trump Jr joined an army of dubious social media trolls to target Kamala Harris with a racist smear
neutral,,,32,,
,ID-101,Alternet,neutral,4820000,"""Nearly 500"
,ID-362,Alternet,neutral,4820000,‘Stunning’: Mormon Church decides same-sex couples are no longer heretics — and their children can now be baptized
,ID-365,Alternet,neutral,4820000,Beyoncé makes black feminism accessible in her Coachella film ‘Homecoming’ — building on the education she’s delivered for years
,ID-501,Alternet,neutral,4820000,Revisiting Quentin Tarantino’s ‘Inglourious Basterds’ in the Trump era
,ID-653,Alternet,neutral,4820000,A ‘fantasy’: Medieval scholars educate white nationalists on their ‘pure white Europe’ claims
,ID-778,Alternet,neutral,4820000,McConnell stumped after reporter asks if it’s OK to tell his immigrant wife to ‘go back to your country’
,ID-1010,Alternet,neutral,4820000,Here are 5 lies Trump defenders are guaranteed to tell about the Mueller report — and why you shouldn’t believe them
,ID-1011,Alternet,neutral,4820000,Here’s the ‘gaping loophole’ in federal law that Russia and other countries can exploit to legally influence the 2020 election
,ID-1236,Alternet,neutral,4820000,"""‘Girl"
,ID-1431,Alternet,neutral,4820000,Here’s why AG Barr will have the last word on the Russia investigation — even after Mueller’s testimony
,ID-1526,Alternet,neutral,4820000,The 25th Amendment wouldn’t work to dump Trump — here’s why
,ID-1670,Alternet,neutral,4820000,Here’s what Mayor Pete gets right on foreign policy
,ID-1874,Alternet,neutral,4820000,Legal experts ‘flabbergasted’ by AG Barr’s ‘deliberate political performance’: He’s ‘too far into the tank for’ Trump
,ID-2296,Alternet,neutral,4820000,It’s time to change the way the world thinks about drug reform
,ID-2411,Alternet,neutral,4820000,Here are 7 of the wildest moments and lies from Trump’s profane and uninhibited campaign rally
,ID-2447,Alternet,neutral,4820000,Unlikely allies Ted Cruz and Alexandria Ocasio-Cortez team up on bipartisan birth control bill
,ID-3007,Alternet,neutral,4820000,Five reasons why 2020’s down-ballot races could reshape America’s future
,ID-3126,Alternet,neutral,4820000,Christians revolt: Students at this top evangelical university are demanding Pence step down as commencement speaker — and suggesting Buttigieg deliver the address instead
,ID-3160,Alternet,neutral,4820000,Hope Hicks tells House that Trump is serious about accepting foreign help as conservative lawyer argues doing so could violate presidential oath
,ID-3248,Alternet,neutral,4820000,Trump sold property to a ‘mysterious shell company’ tied to one of Maduro’s top allies in 2015
,ID-3358,Alternet,neutral,4820000,Mueller requests that long-time aide be sworn in as a witness at House hearings: report
,ID-3370,Alternet,neutral,4820000,Operation Pennsylvania: Why the Keystone State will be make or break Trump’s reelection campaign
,ID-3505,Alternet,neutral,4820000,‘A practitioner of the dark arts’: A psychologist explains how Trump uses his ‘serious sadistic impulses’ to manipulate his rivals
,ID-3715,Alternet,neutral,4820000,Here’s what Ben Franklin teaches us about impeaching Donald Trump
,ID-4164,Alternet,neutral,4820000,‘We shall overcome’: Remembering folk icon and activist Pete Seeger in his own words and songs
,ID-4225,Alternet,neutral,4820000,Elizabeth Warren schools Mitch McConnell on the Constitution by reading directly from Mueller report on the Senate floor
,ID-4243,Alternet,neutral,4820000,Let’s end this media charade about Trump
,ID-4329,Alternet,neutral,4820000,Here’s how economists are blocking progress on climate change
,ID-4346,Alternet,neutral,4820000,Ralph Nader: We know exactly who gave us Trump
,ID-4394,Alternet,neutral,4820000,Attorney General Bill Barr is now in possession of the Mueller report — and could send parts of it to Congress this weekend
,ID-4527,Alternet,neutral,4820000,A Republican senator actually just called out Trump’s hypocritical order on campus ‘free speech’
,ID-4831,Alternet,neutral,4820000,CBS host hammers Lindsey Graham to his face for saying Trump didn’t do ‘one thing’ to obstruct Mueller: ‘Someone is lying’
positive,,,15,,
,ID-1012,Alternet,positive,4820000,Here’s what Donald Trump can teach Democrats about winning crossover votes
,ID-1135,Alternet,positive,4820000,Senate Republicans feel ‘urgency’ to do something about health care — again
,ID-1683,Alternet,positive,4820000,Jake Tapper laughs in Pence’s face: ‘We don’t have the cleanest air and water in the world’
,ID-1859,Alternet,positive,4820000,Here’s why successful impeachment doesn’t necessarily mean a Senate conviction
,ID-2210,Alternet,positive,4820000,These are the 5 TV shows that both liberals and conservatives love
,ID-2903,Alternet,positive,4820000,‘Trump supporters for Ocasio-Cortez’: AOC tells the bizarre story of her most surprising fans
,ID-2904,Alternet,positive,4820000,‘You’re the motherf*cking best!’ Soccer star Megan Rapino urges fans to ‘be better’ in rabble-rousing speech on live TV
,ID-3096,Alternet,positive,4820000,The Republican who endorsed impeachment just demolished his party’s embarrassing defense of Trump
,ID-3544,Alternet,positive,4820000,Fox News’ Chris Wallace says Attorney General Bill Barr ‘clearly is protecting’ Trump
,ID-3816,Alternet,positive,4820000,‘It was not a fluke event’: Alabama Sen. Doug Jones lays out how Democrats can win in 2020
,ID-4308,Alternet,positive,4820000,‘Obliteration like you’ve never seen before’: Trump threatens Iran in NBC interview
,ID-4556,Alternet,positive,4820000,Fox News is hosting a Bernie Sanders town hall — here’s why the Vermont socialist was smart to say ‘yes’
,ID-4596,Alternet,positive,4820000,Raytheon and United Technologies are merging to create ‘military-industrial behemoth’
,ID-4619,Alternet,positive,4820000,Trump is facing impeachment. The NRA is facing bankruptcy. It’s a good day in America
,ID-4669,Alternet,positive,4820000,Former Florida Sen. Bill Nelson vindicated after Gov. DeSantis confirms Russian hackers gained access to county voter databases in 2016
BBC,,,111,,
Pred:,,,Anzahl:,,
negative,,,42,,
,ID-7,BBC,negative,1441220000,Detention centres 'will shock the conscience of this country'
,ID-26,BBC,negative,1441220000,Five numbers that explain US border crisis
,ID-84,BBC,negative,1441220000,Malaysia orders tonnes of imported waste to be returned
,ID-168,BBC,negative,1441220000,The rumour that led to medical researchers in Ethiopia being killed by a mob
,ID-229,BBC,negative,1441220000,One restaurant's simple approach to fighting food waste
,ID-306,BBC,negative,1441220000,Malawi's antibiotics crisis: Why the drugs don't work for some
,ID-463,BBC,negative,1441220000,Libya ‘war crimes’ videos shared on social media
,ID-480,BBC,negative,1441220000,Notre-Dame fire: The moment the spire collapses
,ID-514,BBC,negative,1441220000,Sri Lanka attacks: CCTV shows suspected Sri Lanka church bomber
,ID-517,BBC,negative,1441220000,Sudan: Defence minister Awad Ibn Auf says president Omar al-Bashir arrested
,ID-519,BBC,negative,1441220000,Tear gas fired as Indonesia protest turns violent
,ID-542,BBC,negative,1441220000,Tiananmen's tank man: The image that China forgot
,ID-834,BBC,negative,1441220000,Steve Bannon: 'Trump's border crackdown is anti-racist'
,ID-1373,BBC,negative,1441220000,Boko Haram: A decade of terror explained
,ID-1677,BBC,negative,1441220000,"""In Case You Missed It: Bubbles"
,ID-2139,BBC,negative,1441220000,The Tiger Who Came To Tea author Judith Kerr dies
,ID-2259,BBC,negative,1441220000,Chernobyl: Rescuing the abandoned dogs in the exclusion zone
,ID-2295,BBC,negative,1441220000,Iran crisis: A tale of two tankers
,ID-2342,BBC,negative,1441220000,Sudan protests: Outrage as troops open fire on protesters
,ID-2412,BBC,negative,1441220000,Hong Kong protests: Police use tear gas on protesters
,ID-2424,BBC,negative,1441220000,Rafters accidentally plunge over waterfall in Pennsylvania
,ID-2582,BBC,negative,1441220000,The refugee families caught up in a war zone in Libya
,ID-2610,BBC,negative,1441220000,Appeals over Russia holiday camp deaths
,ID-2813,BBC,negative,1441220000,Kosovo war: The conflict that won't go away
,ID-2880,BBC,negative,1441220000,The mothers fighting to get their children back from Lebanon
,ID-3071,BBC,negative,1441220000,Waterloo battlefield therapy for British war veterans
,ID-3125,BBC,negative,1441220000,"""China tariffs devastating"
,ID-3148,BBC,negative,1441220000,Elephant in 'bad mood' joins commute in Chinese town
,ID-3170,BBC,negative,1441220000,Julian Assange dragged from Ecuadorian embassy
,ID-3223,BBC,negative,1441220000,Sister of Sri Lanka attacks 'ringleader' Zahran Hashim condemns attacks
,ID-3237,BBC,negative,1441220000,The farmer who cut off his own leg with a pocketknife
,ID-3316,BBC,negative,1441220000,El Paso Walmart shooting: Police respond to gun attack
,ID-3520,BBC,negative,1441220000,Celebrations as Puerto Rico Governor Rosselló resigns
,ID-3598,BBC,negative,1441220000,Rescued hiker: 'It came down to life and death and I had to chose'
,ID-3640,BBC,negative,1441220000,Van with $140m of drugs crashes into police car in Sydney
,ID-3679,BBC,negative,1441220000,Cape Town - tourist hotspot where eight people are murdered a day
,ID-3687,BBC,negative,1441220000,Cyclone Idai: 'People didn't stand a chance'
,ID-3958,BBC,negative,1441220000,Africa Eye: On the front line of Nigeria’s energy crisis
,ID-4105,BBC,negative,1441220000,Notre-Dame's spire collapses due to fire
,ID-4159,BBC,negative,1441220000,When misinformation online leads to death threats
,ID-4653,BBC,negative,1441220000,'Her ancestors enslaved mine. Now we're friends'
,ID-4735,BBC,negative,1441220000,Afghanistan war: This is the human cost
neutral,,,51,,
,ID-83,BBC,neutral,1441220000,Lord mayor opens Joe Lycett's new kitchen extension
,ID-144,BBC,neutral,1441220000,"""Syrian woman's 2"
,ID-260,BBC,neutral,1441220000,Clashes break out at Jerusalem holy site
,ID-279,BBC,neutral,1441220000,Ghanaian teacher: 'Dancing makes students relate to me'
,ID-406,BBC,neutral,1441220000,Burning Russian plane makes emergency landing
,ID-410,BBC,neutral,1441220000,Christchurch shootings: The New Zealanders rallying to help victims
,ID-430,BBC,neutral,1441220000,Fifteen-year-old Nigerian builds small scale construction machines
,ID-499,BBC,neutral,1441220000,Real-life Spider-Man scales 15 floors to save mother from fire
,ID-1449,BBC,neutral,1441220000,India election 2019: Oldest voter explains why it's important to vote
,ID-1590,BBC,neutral,1441220000,Women's World Cup 2019: Fans react to US vs Netherlands final
,ID-1707,BBC,neutral,1441220000,Meet the 'warts and all' wedding photographer
,ID-1875,BBC,neutral,1441220000,Loteria: A centuries-old game remade for millennials
,ID-1946,BBC,neutral,1441220000,Five things to know about F1's Niki Lauda
,ID-2102,BBC,neutral,1441220000,Trump lauds military at Independence Day celebrations
,ID-2176,BBC,neutral,1441220000,When an alligator breaks into your house at night
,ID-2340,BBC,neutral,1441220000,Sri Lanka bombings: 'I invited the bomber into the church'
,ID-2387,BBC,neutral,1441220000,Blackpink: Meet the K-pop superstars backstage at their first UK tour
,ID-2414,BBC,neutral,1441220000,Inside Iran: Iranians on Trump and the nuclear deal
,ID-2506,BBC,neutral,1441220000,Dozens of rockets launched into Israel
,ID-2554,BBC,neutral,1441220000,Oklahoma flooding sweeps home into river
,ID-2612,BBC,neutral,1441220000,Bomb targets tourist bus in Egypt
,ID-2630,BBC,neutral,1441220000,Heavy rains in Japan cause deadly landslides and floods
,ID-2665,BBC,neutral,1441220000,The Toronto Raptor superfan who's not Drake
,ID-2703,BBC,neutral,1441220000,North Koreans discuss Kim Jong-un's trip to Russia
,ID-2865,BBC,neutral,1441220000,The Alaskan competition involves skiing on water and snow
,ID-2881,BBC,neutral,1441220000,The self-styled Libyan National Army has launched airstrikes on Tripoli
,ID-2922,BBC,neutral,1441220000,Catwalk gatecrasher becomes surprise fashion star
,ID-3016,BBC,neutral,1441220000,Plane with the largest wingspan in the world takes flight
,ID-3058,BBC,neutral,1441220000,The surprising thing about America's migrant past
,ID-3315,BBC,neutral,1441220000,El Bus TV: News bulletins on the bus in Venezuela
,ID-3521,BBC,neutral,1441220000,China toddler: Three-year-old falls six storeys and survives
,ID-3525,BBC,neutral,1441220000,Cracks open up as earthquake hits Peru
,ID-3548,BBC,neutral,1441220000,Hallstatt: A town of 800 people that gets a million tourists a year
,ID-3551,BBC,neutral,1441220000,Hunrdeds of rockets launched from Gaza into Israel
,ID-3567,BBC,neutral,1441220000,Kashmir: Pakistan PM Imran Khan on the need for dialogue
,ID-3575,BBC,neutral,1441220000,Measles vaccine fears cost me my children
,ID-3705,BBC,neutral,1441220000,Forty-five rattlesnakes found under Texas house
,ID-3769,BBC,neutral,1441220000,Sri Lanka attacks: 'They gave me a hug the night before'
,ID-3772,BBC,neutral,1441220000,Student reunited with mother after 12 years
,ID-3814,BBC,neutral,1441220000,Zimbabwean Manners Mukuwiri recycles rubbish into art
,ID-3855,BBC,neutral,1441220000,Meet the rare tiger cubs making their debut at Sydney Zoo
,ID-3886,BBC,neutral,1441220000,There's a reason this court is run by women
,ID-3894,BBC,neutral,1441220000,Ukraine's presidential candidates take drug tests
,ID-3962,BBC,neutral,1441220000,Alek Sigley: Australian PM confirms North Korea detainee's release
,ID-4051,BBC,neutral,1441220000,Donald Trump state visit: What happened on day one
,ID-4069,BBC,neutral,1441220000,Hong Kong clashes: BBC reporter 'hit in the face'
,ID-4081,BBC,neutral,1441220000,Kwame Akoto-Bamfo: 'You see the faces of our ancestors'
,ID-4128,BBC,neutral,1441220000,"""Stateless in Africa: Why 700"
,ID-4158,BBC,neutral,1441220000,What's at stake in the EU elections
,ID-4570,BBC,neutral,1441220000,India’s six-week election in two minutes
,ID-4782,BBC,neutral,1441220000,The solar-power charged electric cars making money
positive,,,18,,
,ID-400,BBC,positive,1441220000,Baby girl found alive inside plastic bag
,ID-416,BBC,positive,1441220000,Donald Trump joins Shannon Airport hall of fame
,ID-450,BBC,positive,1441220000,India floods: Hundreds of passengers rescued from train
,ID-1821,BBC,positive,1441220000,Bill Clinton: 'Columbine has a special place in my heart'
,ID-1870,BBC,positive,1441220000,Kottu roti: The street food that makes you feel like dancing
,ID-2087,BBC,positive,1441220000,Former Iranian minister: Iran will not be bullied
,ID-2445,BBC,positive,1441220000,Ukraine election: Comedian Volodymyr Zelensky wins
,ID-2689,BBC,positive,1441220000,Five beached whales in Florida saved by strangers
,ID-2705,BBC,positive,1441220000,Rhino release: Epic journey to freedom in Rwanda
,ID-2713,BBC,positive,1441220000,Wheelchair basketball player Abdi Jama: I'm lucky to be alive
,ID-2860,BBC,positive,1441220000,Taiwan puppet master's push to keep ancient art alive
,ID-2919,BBC,positive,1441220000,63-year old dance instructor: 'Exercise saved my life'
,ID-3006,BBC,positive,1441220000,Finland's new generation of climate heroes
,ID-3770,BBC,positive,1441220000,Stranded baby elephant rescued from lake
,ID-3806,BBC,positive,1441220000,What it's like being a woman in media
,ID-4491,BBC,positive,1441220000,Fortnite World Cup: 15-year-old Brit Jaden Ashman wins million dollar prize
,ID-4492,BBC,positive,1441220000,"""Glastonbury: Thank you for going plastic-free"
,ID-4645,BBC,positive,1441220000,Nasa’s Valkyrie robot could help build Mars base
Breitbart,,,75,,
Pred:,,,Anzahl:,,
neutral,,,28,,
,ID-89,Breitbart,neutral,98740000,Mexican Border State Local Police Accused of Protecting Gulf Cartel
,ID-210,Breitbart,neutral,98740000,900 Migrants Apprehended in 2 Days After Crossing Remote AZ Border Area
,ID-224,Breitbart,neutral,98740000,Matt Gaetz: 'America First' Means Protecting U.S. Border Before Avenging Japanese Vessels
,ID-240,Breitbart,neutral,98740000,3500 Migrants Apprehended over 3 Days in One Texas Border Sector
,ID-356,Breitbart,neutral,98740000,Waters: The Public Will 'Push on' Congress to Impeach Trump and 'We're Going to Have to Do It'
,ID-665,Breitbart,neutral,98740000,Andrew Gillum Reiterates Call for Impeachment After Mueller Report
,ID-700,Breitbart,neutral,98740000,DHS Builds 42 Miles of Mostly Replacement Border Wall Since Trump's Inauguration
,ID-783,Breitbart,neutral,98740000,"""Mexican Police Commander Kidnapped"
,ID-943,Breitbart,neutral,98740000,Brzezinski Goes After Biden Accusers -- 'Don't Inject It Into a Presidential Campaign'
,ID-1040,Breitbart,neutral,98740000,Kamala Harris Continues to Lie About Charlottesville 'Very Fine People' Hoax
,ID-1414,Breitbart,neutral,98740000,Federal Judge Upholds Trump Short-Term Health Plan Expansion
,ID-1866,Breitbart,neutral,98740000,John McCain Aide Tried to Keep Paper from Naming Christopher Steele as Dossier Author
,ID-2013,Breitbart,neutral,98740000,"""Exclusive — Rep. Dan Crenshaw: Adam Schiff Lied"
,ID-2320,Breitbart,neutral,98740000,Nolte - MSNBC Host: We're Not Going to 'Play Fair' to Put Trump in Jail
,ID-2461,Breitbart,neutral,98740000,FNC's Wallace: Trump Is Calling People of Color 'Vermin' -- 'It Sounds Subhuman'
,ID-2501,Breitbart,neutral,98740000,Cartel Blockades Bring Mexican Border City near Texas to Standstill
,ID-2649,Breitbart,neutral,98740000,"""Prosecutors: Islamist Planned to Run Over Pedestrians with U-Haul in National Harbor"
,ID-2782,Breitbart,neutral,98740000,"""Explosion Reported at University of Nevada"
,ID-3018,Breitbart,neutral,98740000,Stacey Abrams 'Thinking About' Running for President in 2020
,ID-3109,Breitbart,neutral,98740000,Apple CEO Tim Cook: Big Tech Needs to Be Regulated
,ID-3330,Breitbart,neutral,98740000,Gillibrand: It Should Not Have Been 'So Hard' for Biden to Apologize -- We Need a Candidate With 'Humility'
,ID-3365,Breitbart,neutral,98740000,Notre Dame Basketball Coach Calls for More Women in Power: 'Time's Up. It Is Our Turn'
,ID-3473,Breitbart,neutral,98740000,Exclusive -- Carson: Clear Cut Evidence of Facebook Advertising Platform Discrimination
,ID-3478,Breitbart,neutral,98740000,"""Gov. Ned Lamont Invites Netflix"
,ID-4071,Breitbart,neutral,98740000,"""Human Smugglers Throw Two Disabled Migrants into Border River"
,ID-4466,Breitbart,neutral,98740000,George Will: Trump Has as Much to Do with Conservatism as Doris Day
